model,task,repeat,arm,attempt,passed,failure_stage,detail,deck,record
qwen36,eda_202,3,spicepilot,1,False,,,,records/units/qwen36/eda_202/3/spicepilot/record.json
qwen36,eda_202,3,spicepilot,2,False,,,,records/units/qwen36/eda_202/3/spicepilot/record.json
qwen36,eda_202,3,spicepilot,3,False,,,,records/units/qwen36/eda_202/3/spicepilot/record.json
qwen36,eda_202,3,direct,1,False,simulation,"condition 1: ngspice return code 0; numeric trace was not produced
No. of Data Rows : 1
Error: no such vector OUT
Error: no such vector INP
Error: no such vector INN
in term: real(v(OUT)/(v(INP)-v(INN)))
condition 2: ngspice return code 0; numeric trace was not produced
No. of Data Rows : 1
Error: no such vector OUT
in term: mag(v(OUT))
condition 1: Op-amp DC diagnostic unavailable: operating point unavailable or required unreliable solver recovery
condition 2: Op-amp DC diagnostic unavailable: operating point unavailable or required unreliable solver recovery",attempt_1/submitted.cir,records/units/qwen36/eda_202/3/direct/record.json
qwen36,eda_202,3,direct,2,False,specification,"four_resistor_difference_topology: required topology not found
condition 1: measured=2.5984118e-06, target=5, relative tolerance=0.1; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 2: measured=0.66666654; required interval=[0, 0.01]
condition 1: XAMP1 DC: positive input (INP)=0 V, negative input (INN)=0 V, supplies=-12 to 12 V, output (OUT)=5.22906e-05 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.
condition 2: XAMP1 DC: positive input (INP)=0 V, negative input (INN)=0 V, supplies=-12 to 12 V, output (OUT)=5.22906e-05 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/qwen36/eda_202/3/direct/record.json
qwen36,eda_202,3,direct,3,False,specification,"four_resistor_difference_topology: required topology not found
condition 1: measured=10.216184, target=5, relative tolerance=0.1; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: X1 DC: positive input (2)=1.81026 V, negative input (1)=1.81021 V, supplies=-12 to 12 V, output (OUT)=10.8592 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.
condition 2: X1 DC: positive input (2)=1.81026 V, negative input (1)=1.81021 V, supplies=-12 to 12 V, output (OUT)=10.8592 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/qwen36/eda_202/3/direct/record.json
qwen36,eda_202,2,analogcoder,1,False,parse,"condition_1_VCC_connections: required topology not found
condition_1_VEE_connections: required topology not found
condition_2_VCC_connections: required topology not found
condition_2_VEE_connections: required topology not found
condition 1: required testbench element absent or wrong type: VCC
condition 2: required testbench element absent or wrong type: VCC
condition 1: Op-amp DC diagnostic unavailable: required testbench element absent or wrong type: VCC
condition 2: Op-amp DC diagnostic unavailable: required testbench element absent or wrong type: VCC",attempt_1/sandbox/submitted.cir,records/units/qwen36/eda_202/2/analogcoder/record.json
qwen36,eda_202,2,spicepilot,1,False,,,,records/units/qwen36/eda_202/2/spicepilot/record.json
qwen36,eda_202,2,spicepilot,2,False,,,,records/units/qwen36/eda_202/2/spicepilot/record.json
qwen36,eda_202,2,spicepilot,3,False,parse,"condition_1_VCC_connections: required topology not found
condition_1_VEE_connections: required topology not found
condition_2_VCC_connections: required topology not found
condition_2_VEE_connections: required topology not found
condition 1: required testbench element absent or wrong type: VCC
condition 2: required testbench element absent or wrong type: VCC
condition 1: Op-amp DC diagnostic unavailable: required testbench element absent or wrong type: VCC
condition 2: Op-amp DC diagnostic unavailable: required testbench element absent or wrong type: VCC",attempt_3/sandbox/submitted.cir,records/units/qwen36/eda_202/2/spicepilot/record.json
qwen36,eda_202,2,direct,1,False,simulation,"condition 1: ngspice return code 0; numeric trace was not produced
No. of Data Rows : 1
Error: no such vector OUT
Error: no such vector INP
Error: no such vector INN
in term: real(v(OUT)/(v(INP)-v(INN)))
condition 2: ngspice return code 0; numeric trace was not produced
No. of Data Rows : 1
Error: no such vector OUT
in term: mag(v(OUT))
condition 1: Op-amp DC diagnostic unavailable: operating point unavailable or required unreliable solver recovery
condition 2: Op-amp DC diagnostic unavailable: operating point unavailable or required unreliable solver recovery",attempt_1/submitted.cir,records/units/qwen36/eda_202/2/direct/record.json
qwen36,eda_202,2,direct,2,False,specification,"four_resistor_difference_topology: required topology not found
condition 2: measured=0.99968004; required interval=[0, 0.01]
condition 1: X1 DC: positive input (INV)=-0.00200009 V, negative input (INP)=0 V, supplies=-12 to 12 V, output (OUT)=-0.0145982 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.
condition 2: X1 DC: positive input (INV)=-0.00200009 V, negative input (INP)=0 V, supplies=-12 to 12 V, output (OUT)=-0.0145982 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/qwen36/eda_202/2/direct/record.json
qwen36,eda_202,2,direct,3,True,,,attempt_3/submitted.cir,records/units/qwen36/eda_202/2/direct/record.json
v32,eda_016,1,analogcoder,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.42964941, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
D1 Zener actual terminals: anode=OUT, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_016/1/analogcoder/record.json
v32,eda_016,1,spicepilot,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.43753798, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT_BUFFER)=0.441913 V, supplies=0 to 12 V, output (OUT_BUFFER)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_016/1/spicepilot/record.json
v32,eda_016,1,spicepilot,2,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.44191336, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT)=0.441913 V, supplies=0 to 12 V, output (OUT)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/sandbox/submitted.cir,records/units/v32/eda_016/1/spicepilot/record.json
v32,eda_016,1,spicepilot,3,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.43753798, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT_BUFFER)=0.441913 V, supplies=0 to 12 V, output (OUT_BUFFER)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/sandbox/submitted.cir,records/units/v32/eda_016/1/spicepilot/record.json
v32,eda_016,1,direct,1,False,parse,use the fixed model catalog without local model/subcircuit definitions,attempt_1/submitted.cir,records/units/v32/eda_016/1/direct/record.json
v32,eda_016,1,direct,2,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=10.691698, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZ Zener actual terminals: anode=ZNODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: X1 DC: positive input (ZNODE)=0.44017 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.6917 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/v32/eda_016/1/direct/record.json
v32,eda_016,1,direct,3,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=10.691698, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZ Zener actual terminals: anode=ZNODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: X1 DC: positive input (ZNODE)=0.449297 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.6917 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/v32/eda_016/1/direct/record.json
v32,eda_016,3,analogcoder,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.41022196, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
D1 Zener actual terminals: anode=OUT, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_016/3/analogcoder/record.json
v32,eda_016,3,spicepilot,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.44191336, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT)=0.441913 V, supplies=0 to 12 V, output (OUT)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_016/3/spicepilot/record.json
v32,eda_016,3,spicepilot,2,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.44191336, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT)=0.441913 V, supplies=0 to 12 V, output (OUT)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/sandbox/submitted.cir,records/units/v32/eda_016/3/spicepilot/record.json
v32,eda_016,3,spicepilot,3,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.43970499, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.",attempt_3/sandbox/submitted.cir,records/units/v32/eda_016/3/spicepilot/record.json
v32,eda_016,3,direct,1,False,parse,use the fixed model catalog without local model/subcircuit definitions,attempt_1/submitted.cir,records/units/v32/eda_016/3/direct/record.json
v32,eda_016,3,direct,2,False,parse,submitted deck must be self-contained; external includes are forbidden,attempt_2/submitted.cir,records/units/v32/eda_016/3/direct/record.json
v32,eda_016,3,direct,3,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=10.691698, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZ Zener actual terminals: anode=ZNODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XBUF DC: positive input (ZNODE)=0.459761 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.6917 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/v32/eda_016/3/direct/record.json
v32,eda_016,2,analogcoder,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.41022196, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
D1 Zener actual terminals: anode=OUT, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_016/2/analogcoder/record.json
v32,eda_016,2,spicepilot,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.44191336, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT)=0.441913 V, supplies=0 to 12 V, output (OUT)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_016/2/spicepilot/record.json
v32,eda_016,2,spicepilot,2,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=0.44191336, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (OUT)=0.441913 V, supplies=0 to 12 V, output (OUT)=0.441913 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/sandbox/submitted.cir,records/units/v32/eda_016/2/spicepilot/record.json
v32,eda_016,2,spicepilot,3,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=10.587442, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZENER_NODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XU1 DC: positive input (ZENER_NODE)=0.440171 V, negative input (ZENER_NODE)=0.440171 V, supplies=0 to 12 V, output (OUT)=10.5874 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/sandbox/submitted.cir,records/units/v32/eda_016/2/spicepilot/record.json
v32,eda_016,2,direct,1,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=10.691698, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZNODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XBUFFER DC: positive input (ZNODE)=0.44017 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.6917 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/submitted.cir,records/units/v32/eda_016/2/direct/record.json
v32,eda_016,2,direct,2,False,specification,"zener_reference_output_path: required topology not found
condition 1: measured=10.691698, target=5.1, relative tolerance=0.15; acceptance condition: abs(measured-target) <= tolerance*abs(target)
DZENER Zener actual terminals: anode=ZNODE, cathode=0. SPICE diode order is anode then cathode.
This Zener has its cathode grounded. A positive shunt reference requires reverse bias: anode at ground and cathode at the fed reference node. Check polarity before changing resistor values.
condition 1: XBUFFER DC: positive input (ZNODE)=0.44017 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.6917 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/v32/eda_016/2/direct/record.json
v32,eda_016,2,direct,3,False,parse,use the fixed model catalog without local model/subcircuit definitions,attempt_3/submitted.cir,records/units/v32/eda_016/2/direct/record.json
v32,eda_027,1,analogcoder,1,False,specification,"condition 1: measured=1321.9469, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (0)=0 V, negative input (INM)=0.0150968 V, supplies=0 to 5 V, output (OUT)=0.0300575 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_027/1/analogcoder/record.json
v32,eda_027,1,spicepilot,1,False,specification,"condition 1: measured=1330.6339, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (0)=0 V, negative input (INM)=0.0149798 V, supplies=0 to 15 V, output (OUT)=0.0298237 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_027/1/spicepilot/record.json
v32,eda_027,1,spicepilot,2,False,evaluation,"condition 1: no -3 dB crossing after the passband peak
condition 1: XU1 DC: positive input (0)=0 V, negative input (INV)=13.0054 V, supplies=15 to 15 V, output (OUT)=14.3794 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/sandbox/submitted.cir,records/units/v32/eda_027/1/spicepilot/record.json
v32,eda_027,1,spicepilot,3,False,specification,"active_rc_feedback: required topology not found
condition 1: X1 DC: positive input (INV)=-0.00199999 V, negative input (0)=0 V, supplies=-15 to 15 V, output (OUT)=-0.00451948 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/sandbox/submitted.cir,records/units/v32/eda_027/1/spicepilot/record.json
v32,eda_027,1,direct,1,False,specification,"active_rc_feedback: required topology not found
condition 1: XOP DC: positive input (VN)=-0.00199999 V, negative input (0)=0 V, supplies=-15 to 15 V, output (OUT)=-0.00451948 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/submitted.cir,records/units/v32/eda_027/1/direct/record.json
v32,eda_027,1,direct,2,False,evaluation,"active_rc_feedback: required topology not found
condition 1: no -3 dB crossing after the passband peak
condition 1: X1 DC: positive input (IN_NEG)=5.42225 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.8987 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/v32/eda_027/1/direct/record.json
v32,eda_027,1,direct,3,False,specification,"active_rc_feedback: required topology not found
condition 1: XOPAMP DC: positive input (INV)=-0.00199999 V, negative input (0)=0 V, supplies=-15 to 15 V, output (OUT)=-0.00451948 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/v32/eda_027/1/direct/record.json
v32,eda_027,3,analogcoder,1,False,specification,"condition 1: measured=1412.2927, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (0)=0 V, negative input (INVERTING_INPUT)=0.0150968 V, supplies=0 to 5 V, output (OUT)=0.0300575 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_027/3/analogcoder/record.json
v32,eda_027,3,spicepilot,1,False,specification,"condition 1: measured=1330.6339, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (0)=0 V, negative input (INV)=0.0149798 V, supplies=0 to 15 V, output (OUT)=0.0298237 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_027/3/spicepilot/record.json
v32,eda_027,3,spicepilot,2,False,specification,"active_rc_feedback: required topology not found
condition 1: XU1 DC: positive input (INV)=-0.00199999 V, negative input (0)=0 V, supplies=-15 to 15 V, output (OUT)=-0.00451948 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/sandbox/submitted.cir,records/units/v32/eda_027/3/spicepilot/record.json
v32,eda_027,3,spicepilot,3,False,evaluation,"condition 1: no -3 dB crossing after the passband peak
condition 1: XU1 DC: positive input (0)=0 V, negative input (INV)=13.0054 V, supplies=15 to 15 V, output (OUT)=14.3794 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/sandbox/submitted.cir,records/units/v32/eda_027/3/spicepilot/record.json
v32,eda_027,3,direct,1,True,,,attempt_1/submitted.cir,records/units/v32/eda_027/3/direct/record.json
v32,eda_027,2,analogcoder,1,True,,,attempt_1/sandbox/submitted.cir,records/units/v32/eda_027/2/analogcoder/record.json
v32,eda_027,2,spicepilot,1,True,,,attempt_1/sandbox/submitted.cir,records/units/v32/eda_027/2/spicepilot/record.json
v32,eda_027,2,direct,1,False,specification,"active_rc_feedback: required topology not found
condition 1: measured=56027.07, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: X1 DC: positive input (0)=0 V, negative input (IN)=0 V, supplies=-15 to 15 V, output (OUT)=13.7821 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/submitted.cir,records/units/v32/eda_027/2/direct/record.json
v32,eda_027,2,direct,2,False,evaluation,"active_rc_feedback: required topology not found
condition 1: no -3 dB crossing after the passband peak
condition 1: X1 DC: positive input (IN_NEG)=5.4457 V, negative input (0)=0 V, supplies=0 to 12 V, output (OUT)=10.9458 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/v32/eda_027/2/direct/record.json
v32,eda_027,2,direct,3,False,specification,"active_rc_feedback: required topology not found
condition 1: X1 DC: positive input (INV)=-0.00199999 V, negative input (0)=0 V, supplies=-15 to 15 V, output (OUT)=-0.00451948 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/v32/eda_027/2/direct/record.json
v32,eda_010,1,analogcoder,1,True,,,attempt_1/sandbox/submitted.cir,records/units/v32/eda_010/1/analogcoder/record.json
v32,eda_010,1,spicepilot,1,False,specification,"condition 1: measured=4367.0604, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (INP)=10.5812 V, negative input (OUT)=14.3832 V, supplies=15 to 15 V, output (OUT)=14.3832 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_010/1/spicepilot/record.json
v32,eda_010,1,spicepilot,2,True,,,attempt_2/sandbox/submitted.cir,records/units/v32/eda_010/1/spicepilot/record.json
v32,eda_010,1,direct,1,False,specification,"buffered_rc: required topology not found
condition 1: XOPAMP DC: positive input (IN_PLUS)=0.000142988 V, negative input (IN_PLUS)=0.000142988 V, supplies=0 to 12 V, output (OUT)=10.9181 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/submitted.cir,records/units/v32/eda_010/1/direct/record.json
v32,eda_010,1,direct,2,False,specification,"buffered_rc: required topology not found
condition 1: X1 DC: positive input (VIN_POS)=0.000142988 V, negative input (VIN_POS)=0.000142988 V, supplies=0 to 12 V, output (OUT)=10.9181 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/v32/eda_010/1/direct/record.json
v32,eda_010,1,direct,3,False,specification,"buffered_rc: required topology not found
condition 1: X1 DC: positive input (VINP)=0.000899295 V, negative input (VINP)=0.000899295 V, supplies=0 to 15 V, output (OUT)=13.5276 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/v32/eda_010/1/direct/record.json
v32,eda_010,3,analogcoder,1,True,,,attempt_1/sandbox/submitted.cir,records/units/v32/eda_010/3/analogcoder/record.json
v32,eda_010,3,spicepilot,1,False,specification,"condition 1: measured=4367.0604, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (N1)=10.5812 V, negative input (OUT)=14.3832 V, supplies=15 to 15 V, output (OUT)=14.3832 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_010/3/spicepilot/record.json
v32,eda_010,3,spicepilot,2,True,,,attempt_2/sandbox/submitted.cir,records/units/v32/eda_010/3/spicepilot/record.json
v32,eda_010,3,direct,1,False,specification,"buffered_rc: required topology not found
condition 1: XOPAMP DC: positive input (N1)=0.000142988 V, negative input (N1)=0.000142988 V, supplies=0 to 12 V, output (OUT)=10.9181 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/submitted.cir,records/units/v32/eda_010/3/direct/record.json
v32,eda_010,3,direct,2,False,specification,"buffered_rc: required topology not found
condition 1: X1 DC: positive input (IN_PLUS)=0.000121949 V, negative input (IN_MINUS)=0.0153372 V, supplies=0 to 12 V, output (OUT)=0.030542 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_2/submitted.cir,records/units/v32/eda_010/3/direct/record.json
v32,eda_010,3,direct,3,False,specification,"buffered_rc: required topology not found
condition 1: X1 DC: positive input (IN_PLUS)=0.000142988 V, negative input (IN_PLUS)=0.000142988 V, supplies=0 to 15 V, output (OUT)=13.5276 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_3/submitted.cir,records/units/v32/eda_010/3/direct/record.json
v32,eda_010,2,analogcoder,1,True,,,attempt_1/sandbox/submitted.cir,records/units/v32/eda_010/2/analogcoder/record.json
v32,eda_010,2,spicepilot,1,False,specification,"condition 1: measured=4254.4712, target=1000, relative tolerance=0.2; acceptance condition: abs(measured-target) <= tolerance*abs(target)
condition 1: XU1 DC: positive input (N1)=10.7378 V, negative input (OUT)=14.3832 V, supplies=15 to 15 V, output (OUT)=14.3832 V. Check input common-mode range and output headroom against these measured voltages; DC bias alone does not verify the AC reference impedance or closed-loop gain.",attempt_1/sandbox/submitted.cir,records/units/v32/eda_010/2/spicepilot/record.json
